==164667== NVPROF is profiling process 164667, command: ./sciara_cuda_global ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==164667== Profiling application: ./sciara_cuda_global ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==164667== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",42.417296,3.034207,16000,189.637000,183.551000,339.999000,"massBalance_kernel(int, int, int*, int*, double*, double*, double*, double*, double*)"
"GPU activities",26.501012,1.895679,16000,118.479000,28.191000,195.520000,"computeOutflows_kernel(int, int, int*, int*, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",15.362480,1.098914,16000,68.682000,56.160000,129.632000,"computeNewTemperatureAndSolidification_kernel(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",9.093711,0.650494,16000,40.655000,39.263000,45.984000,"boundaryConditions_kernel(int, int, bool*, double*, double*, double*, double*)"
"GPU activities",6.246362,0.446817,16000,27.926000,27.392000,78.016000,"emitLava_kernel(int, int, CudaVent*, int, double, double, double, double*, double, double, double*, double*, double*)"
"GPU activities",0.333793,0.023877,16016,1.490000,1.375000,2.080000,"[CUDA memcpy DtoH]"
"GPU activities",0.024966,0.001786,16,111.617000,20.032000,214.240000,"globalReduction_kernel(int, int, double*, double*)"
"GPU activities",0.015991,0.001144,5,228.767000,1.344000,570.911000,"[CUDA memcpy HtoD]"
"GPU activities",0.002339,0.000167,24,6.970000,2.336000,72.895000,"[CUDA memset]"
"GPU activities",0.002052,0.000147,1,146.752000,146.752000,146.752000,"makeBorder_kernel(int, int, double*, bool*, int*, int*)"
